[2018-06-30, 03:50:03.0882 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0890 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0901 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0927 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0940 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0992 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:04.0135 UTC] -> Sat, 30 Jun 2018 03:50:04 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:09.0287 UTC] -> Sat, 30 Jun 2018 03:50:09 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:09.0441 UTC] -> Sat, 30 Jun 2018 03:50:09 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:09.0454 UTC] -> Sat, 30 Jun 2018 03:50:09 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:09.0455 UTC] -> Sat, 30 Jun 2018 03:50:09 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:09.0466 UTC] -> Sat, 30 Jun 2018 03:50:09 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
